Date,Open,High,Low,Close,Volume,Adj. Close
28-02-18,1519.51,1528.7,1512,1512.45,4426580,1512.45
01-03-18,1513.6,1518.49,1465,1493.45,6835230,1493.45
02-03-18,1469.1,1501.05,1455.01,1500.25,6587564,1500.25
05-03-18,1494.24,1525.38,1481,1523.61,5233934,1523.61
06-03-18,1533.2,1542.13,1528,1537.64,4561718,1537.64
07-03-18,1526.52,1545.9,1522.51,1545,4174123,1545
08-03-18,1550,1554.88,1545.25,1551.86,3512528,1551.86
09-03-18,1563.5,1578.94,1559.08,1578.89,4417059,1578.89
12-03-18,1592.6,1605.33,1586.7,1598.39,5115886,1598.39
13-03-18,1615.96,1617.54,1578.01,1588.18,6427066,1588.18
14-03-18,1597,1606.44,1590.89,1591,4164395,1591
15-03-18,1595,1596.91,1578.11,1582.32,4026744,1582.32
16-03-18,1583.45,1589.44,1567.5,1571.68,5145054,1571.68
19-03-18,1554.53,1561.66,1525.35,1544.93,6376619,1544.93
20-03-18,1550.34,1587,1545.41,1586.51,4507049,1586.51
21-03-18,1586.45,1590,1563.17,1581.86,4667291,1581.86
22-03-18,1565.47,1573.85,1542.4,1544.1,6177737,1544.1
23-03-18,1539.01,1549.02,1495.36,1495.56,7843966,1495.56
26-03-18,1530,1556.99,1499.25,1555.86,5547618,1555.86
27-03-18,1572.4,1575.96,1482.32,1497.05,6793279,1497.05
02-04-18,1417.619995,1421.359985,1355,1371.98999,10463600,1371.98999
03-04-18,1391.380005,1414,1355.329956,1392.050049,10231200,1392.050049
04-04-18,1358.23999,1415.390015,1352.880005,1410.569946,6982300,1410.569946
05-04-18,1441.98999,1459.560059,1427.069946,1451.75,6413500,1451.75
06-04-18,1429.969971,1452.5,1400.26001,1405.22998,5882300,1405.22998
09-04-18,1425.030029,1438.47998,1402.569946,1406.079956,4208200,1406.079956
10-04-18,1431.98999,1438.380005,1415.699951,1436.219971,4254100,1436.219971
11-04-18,1439.439941,1448.780029,1424.890015,1427.050049,3582500,1427.050049
12-04-18,1439.5,1452.119995,1435.060059,1448.5,3135000,1448.5
13-04-18,1449.140015,1459.780029,1424.52002,1430.790039,3685300,1430.790039
16-04-18,1445,1447,1427.47998,1441.5,2808600,1441.5
17-04-18,1462.300049,1507.189941,1457.02002,1503.829956,5114400,1503.829956
18-04-18,1514.650024,1533.800049,1504.109985,1527.839966,5227500,1527.839966
19-04-18,1543.219971,1568.52002,1539.060059,1556.910034,6523700,1556.910034
20-04-18,1561.199951,1561.199951,1516.089966,1527.48999,5541600,1527.48999
23-04-18,1546.689941,1548,1503.410034,1517.859985,4465400,1517.859985
24-04-18,1535.800049,1539.5,1448.449951,1460.089966,7494700,1460.089966
25-04-18,1458,1469.98999,1415.02002,1460.170044,6587300,1460.170044
26-04-18,1485.01001,1529.420044,1478.5,1517.959961,8801100,1517.959961
27-04-18,1634.01001,1638.099976,1567.390015,1572.619995,13053200,1572.619995
30-04-18,1582.5,1596,1560.939941,1566.130005,5464100,1566.130005
01-05-18,1563.219971,1585,1552.180054,1582.26001,4572100,1582.26001
02-05-18,1580.97998,1588.5,1566.359985,1569.680054,4360300,1569.680054
03-05-18,1560.01001,1574.800049,1546.02002,1572.079956,4251900,1572.079956
04-05-18,1562.449951,1584.900024,1562.189941,1580.949951,3443600,1580.949951
07-05-18,1589.339966,1606.949951,1587.829956,1600.140015,3801900,1600.140015
08-05-18,1595,1596.880005,1582.51001,1592.390015,3067900,1592.390015
09-05-18,1600,1608,1592,1608,3637300,1608
10-05-18,1608.47998,1615.599976,1603.439941,1609.079956,2817500,1609.079956
11-05-18,1610.98999,1611.099976,1597.890015,1602.910034,2263900,1602.910034
14-05-18,1604,1611.180054,1600.050049,1601.540039,2509500,1601.540039
15-05-18,1587.800049,1587.800049,1565.219971,1576.119995,5077500,1576.119995
16-05-18,1577.5,1594.430054,1576.670044,1587.280029,2570600,1587.280029
