,city,job_title,company_name,summary,salary_lower,salary_upper
197,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000","$100,000"
198,Sydney,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver Data Scientist,salary,
199,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist. Experience of working with large Data Scientist,salary,
200,Sydney,Data Scientist,Freshwater Group,The Data Scientist will:. Manage Data Scientist,salary,
201,Sydney,Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of Data Scientist",salary,
202,Sydney,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
203,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000","$110,000"
204,Sydney,Data Scientist,Caltex, a Data Scientist,salary,
205,Sydney,Junior Data Scientist,International Institute of Data & Analytics,In Data Scientist,salary,
206,Sydney,Senior Data Scientist,Intellify,Being a senior Data Scientist,"$120,000","$160,000"
207,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary,
208,Melbourne,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and Data Scientist",salary,
209,Melbourne,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary,
210,Melbourne,Data Scientist,biomind.ai,The candidate is a skilled Data Scientist,salary,
211,Melbourne,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000","$85,000"
212,Melbourne,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large Data Scientist","$70,000","$90,000"
213,Melbourne,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000","$100,000"
214,Melbourne,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver Data Scientist,salary,
215,Melbourne,Data Scientist,CPT Global,Strong experience working as a Data Scientist. Experience of working with large Data Scientist,salary,
216,Melbourne,Data Scientist,Freshwater Group,The Data Scientist will:. Manage Data Scientist,salary,
217,Melbourne,Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of Data Scientist",salary,
218,Melbourne,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
219,Melbourne,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000","$110,000"
220,Melbourne,Data Scientist,Caltex, a Data Scientist,salary,
221,Melbourne,Junior Data Scientist,International Institute of Data & Analytics,In Data Scientist,salary,
222,Melbourne,Senior Data Scientist,Intellify,Being a senior Data Scientist,"$120,000","$160,000"
223,Melbourne,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary,
224,Sydney,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and Data Scientist",salary,
225,Sydney,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary,
226,Sydney,Data Scientist,biomind.ai,The candidate is a skilled Data Scientist,salary,
227,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000","$85,000"
228,Sydney,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large Data Scientist","$70,000","$90,000"
229,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000","$100,000"
230,Sydney,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver Data Scientist,salary,
231,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist. Experience of working with large Data Scientist,salary,
232,Sydney,Data Scientist,Freshwater Group,The Data Scientist will:. Manage Data Scientist,salary,
233,Sydney,Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of Data Scientist",salary,
234,Sydney,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
235,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000","$110,000"
236,Sydney,Data Scientist,Caltex, a Data Scientist,salary,
237,Sydney,Junior Data Scientist,International Institute of Data & Analytics,In Data Scientist,salary,
238,Sydney,Senior Data Scientist,Intellify,Being a senior Data Scientist,"$120,000","$160,000"
239,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary,
240,Ultimo,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and Data Scientist",salary,
241,Ultimo,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary,
242,Ultimo,Data Scientist,biomind.ai,The candidate is a skilled Data Scientist,salary,
243,Ultimo,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000","$85,000"
244,Ultimo,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large Data Scientist","$70,000","$90,000"
245,Ultimo,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000","$100,000"
246,Ultimo,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver Data Scientist,salary,
247,Ultimo,Data Scientist,CPT Global,Strong experience working as a Data Scientist. Experience of working with large Data Scientist,salary,
248,Ultimo,Data Scientist,Freshwater Group,The Data Scientist will:. Manage Data Scientist,salary,
249,Ultimo,Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of Data Scientist",salary,
250,Ultimo,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
251,Ultimo,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000","$110,000"
252,Ultimo,Data Scientist,Caltex, a Data Scientist,salary,
253,Ultimo,Junior Data Scientist,International Institute of Data & Analytics,In Data Scientist,salary,
254,Ultimo,Senior Data Scientist,Intellify,Being a senior Data Scientist,"$120,000","$160,000"
255,Ultimo,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary,
